data,Benchmark,Trained_LSTM
2021-09-30,0.0,0.0
2021-10-31,0.0,0.0
2021-11-30,0.0,0.0
2021-12-31,0.0,0.0
2022-01-31,0.0,0.0
2022-02-28,0.0,0.0
2022-03-31,0.019533505146317354,0.015249425239562964
2022-04-30,-0.08149233673569833,-0.19204297019551841
2022-05-31,-0.04927942561552334,-0.23566622415340377
2022-06-30,-0.16431207013600357,-0.47010911200203875
2022-07-31,-0.11739806392545382,-0.21126128570840164
2022-08-31,-0.05576863534017773,0.2755915581112388
2022-09-30,-0.05107555717394774,0.2852137498186339
